price,bedrooms,beds,bathrooms,accommodates,amenities_count,log_amenities_count,host_age_days,neighbourhood_median_price,is_shared_room,is_private_room,is_entire_place,te_neighbourhood,te_property_type
150.00000000000009,1.0,1.0,1.0,3,9,2.302585092994046,4962.0,149.0,0,0,1,158.97299034693913,141.45212834690346
169.0,3.0,3.0,1.0,7,15,2.772588722239781,3051.0,164.9999999999998,0,0,1,199.7005481761192,141.45212834690346
144.99999999999997,1.0,3.0,1.0,5,19,2.995732273553991,3288.0,100.00000000000004,0,0,1,119.05781929921426,141.45212834690346
749.9999999999999,2.0,2.0,1.0,4,15,2.772588722239781,3843.0,182.4999999999999,0,0,1,227.6665347453826,163.3338196098838
115.0,0.0,1.0,1.0,2,12,2.5649493574615367,3892.0,110.00000000000004,0,0,1,163.70038092999917,141.45212834690346
85.00000000000001,1.0,1.0,1.0,2,10,2.3978952727983707,3063.0,190.0,0,1,0,230.6657608772766,141.45212834690346
82.99999999999989,1.0,1.0,1.0,3,21,3.091042453358316,3159.0,,0,0,1,149.25272942876225,141.45212834690346
119.99999999999996,1.0,1.0,1.0,2,26,3.295836866004329,4544.0,153.4999999999999,0,0,1,198.06525462029944,190.9922365885418
119.99999999999996,1.0,1.0,1.0,2,21,3.091042453358316,3797.0,150.00000000000009,0,1,0,211.05804855429466,163.3338196098838
36.0,1.0,1.0,1.0,2,13,2.6390573296152584,3150.0,,0,1,0,149.25272942876225,163.3338196098838
100.00000000000004,1.0,1.0,1.0,2,15,2.772588722239781,4596.0,129.99999999999997,0,1,0,161.54941854721088,141.45212834690346
150.00000000000009,2.0,2.0,1.5,4,22,3.1354942159291497,3790.0,175.00000000000006,0,0,1,229.87669199306941,163.3338196098838
70.00000000000003,1.0,1.0,1.0,2,17,2.8903717578961645,3456.0,79.0,0,1,0,137.119845709699,141.45212834690346
199.99999999999991,2.0,3.0,1.5,6,25,3.258096538021482,4762.0,139.99999999999994,0,0,1,214.26221379167742,141.45212834690346
142.00000000000014,1.0,1.0,1.0,2,7,2.0794415416798357,4723.0,,0,0,1,149.25272942876225,141.45212834690346
59.99999999999999,1.0,1.0,1.5,2,12,2.5649493574615367,4794.0,74.99999999999997,0,1,0,97.87853839121688,141.45212834690346
74.99999999999997,1.0,1.0,1.0,2,18,2.9444389791664403,3376.0,109.00000000000009,0,1,0,138.72102336512398,185.81316523145617
99.0,1.0,1.0,2.0,2,19,2.995732273553991,4109.0,170.99999999999991,0,1,0,212.81786238919966,164.1573688120861
132.0000000000002,1.0,2.0,1.0,2,18,2.9444389791664403,3723.0,135.00000000000003,0,0,1,162.44929083961227,141.45212834690346
99.0,3.0,3.0,1.0,8,24,3.2188758248682006,3092.0,70.00000000000003,0,0,1,91.19565711720419,163.3338196098838
79.99999999999997,1.0,1.0,1.0,2,21,3.091042453358316,3576.0,108.00000000000004,0,1,0,166.04911697253692,163.3338196098838
39.99999999999998,1.0,1.0,1.5,2,11,2.4849066497880004,4078.0,78.0,0,1,0,92.94619506559465,163.3338196098838
135.00000000000003,1.0,1.0,1.0,4,29,3.4011973816621555,3985.0,153.4999999999999,0,0,1,198.06525462029944,141.45212834690346
55.000000000000014,1.0,1.0,1.0,2,16,2.833213344056216,4854.0,71.5,0,1,0,105.74585243609077,163.3338196098838
149.0,3.0,3.0,1.0,6,44,3.8066624897703196,3211.0,67.0,0,0,1,91.73562381698689,141.45212834690346
95.0,1.0,1.0,1.0,2,14,2.70805020110221,4511.0,,0,0,1,149.25272942876225,141.45212834690346
149.0,2.0,2.0,1.0,4,21,3.091042453358316,3441.0,86.50000000000003,0,0,1,111.62519323665472,141.45212834690346
179.99999999999986,1.0,2.0,1.0,3,15,2.772588722239781,3683.0,,0,0,1,149.25272942876225,141.45212834690346
104.99999999999996,1.0,2.0,1.0,3,18,2.9444389791664403,3521.0,160.00000000000023,0,1,0,193.13345954485072,141.45212834690346
74.99999999999997,1.0,1.0,1.0,2,22,3.1354942159291497,4311.0,79.99999999999997,0,1,0,94.41632633612473,141.45212834690346
46.0,1.0,1.0,1.0,2,15,2.772588722239781,3144.0,99.0,0,1,0,129.45214501223427,141.45212834690346
184.99999999999991,2.0,3.0,1.0,4,27,3.332204510175204,5133.0,155.00000000000003,0,0,1,200.17694823413424,141.45212834690346
88.99999999999999,1.0,1.0,1.0,1,14,2.70805020110221,5322.0,125.00000000000004,0,1,0,157.03233666007412,163.3338196098838
78.0,1.0,2.0,1.0,4,29,3.4011973816621555,3289.0,,0,0,1,149.25272942876225,141.45212834690346
79.99999999999997,1.0,1.0,1.0,2,17,2.8903717578961645,4828.0,74.99999999999997,0,1,0,111.08495339377409,141.45212834690346
125.00000000000004,1.0,1.0,1.0,2,28,3.367295829986474,4322.0,150.00000000000009,0,1,0,211.05804855429466,163.3338196098838
50.00000000000004,1.0,1.0,1.0,1,18,2.9444389791664403,4359.0,104.99999999999996,0,1,0,135.76241613403116,141.45212834690346
115.0,1.0,1.0,1.0,2,8,2.1972245773362196,5407.0,150.00000000000009,0,0,1,182.0983055504649,141.45212834690346
108.00000000000004,1.0,1.0,1.0,2,25,3.258096538021482,4515.0,170.99999999999991,0,1,0,212.81786238919966,190.9922365885418
249.9999999999999,2.0,2.0,2.0,5,19,2.995732273553991,3388.0,128.49999999999997,0,0,1,165.9622274258159,190.9922365885418
119.99999999999996,1.0,1.0,1.0,4,23,3.1780538303479458,3326.0,,1,0,0,149.25272942876225,141.45212834690346
74.99999999999997,1.0,7.0,1.0,8,15,2.772588722239781,3758.0,92.99999999999994,0,1,0,106.2207644185261,141.45212834690346
